product_id,category,price
prod_00001,食品,10.81
prod_00002,电子产品,14.11
prod_00003,美妆,10.0
prod_00004,母婴用品,82.8
prod_00005,运动户外,57.46
prod_00006,食品,21.21
prod_00007,美妆,42.59
prod_00008,食品,19.51
prod_00009,电子产品,28.48
prod_00010,电子产品,44.24
prod_00011,母婴用品,16.6
prod_00012,家居用品,37.31
prod_00013,服装,10.0
prod_00014,食品,23.85
prod_00015,母婴用品,19.86
prod_00016,美妆,15.3
prod_00017,美妆,17.02
prod_00018,食品,16.55
prod_00019,图书,48.74
prod_00020,美妆,19.17
prod_00021,母婴用品,191.91
prod_00022,食品,10.0
prod_00023,服装,31.3
prod_00024,运动户外,41.09
prod_00025,图书,14.71
prod_00026,电子产品,10.0
prod_00027,家居用品,14.0
prod_00028,母婴用品,10.0
prod_00029,服装,10.39
prod_00030,食品,27.38
prod_00031,家居用品,159.5
prod_00032,服装,80.52
prod_00033,图书,12.35
prod_00034,服装,42.8
prod_00035,家居用品,15.02
prod_00036,电子产品,10.01
prod_00037,母婴用品,18.8
prod_00038,运动户外,10.0
prod_00039,图书,10.0
prod_00040,美妆,41.7
prod_00041,食品,59.81
prod_00042,运动户外,10.0
prod_00043,图书,64.45
prod_00044,运动户外,50.75
prod_00045,家居用品,15.2
prod_00046,服装,28.9
prod_00047,图书,85.96
prod_00048,服装,53.56
prod_00049,服装,29.82
prod_00050,美妆,12.1
prod_00051,服装,14.47
prod_00052,图书,35.14
prod_00053,电子产品,30.98
prod_00054,图书,50.88
prod_00055,电子产品,10.0
prod_00056,母婴用品,28.67
prod_00057,家居用品,35.71
prod_00058,图书,16.55
prod_00059,食品,135.04
prod_00060,电子产品,10.06
prod_00061,食品,19.2
prod_00062,母婴用品,36.04
prod_00063,电子产品,40.08
prod_00064,家居用品,16.51
prod_00065,服装,16.48
prod_00066,家居用品,35.13
prod_00067,母婴用品,29.12
prod_00068,服装,21.62
prod_00069,美妆,10.0
prod_00070,家居用品,22.61
prod_00071,家居用品,73.13
prod_00072,电子产品,32.19
prod_00073,服装,10.8
prod_00074,食品,10.0
prod_00075,电子产品,43.25
prod_00076,运动户外,13.9
prod_00077,食品,58.45
prod_00078,电子产品,57.39
prod_00079,电子产品,17.83
prod_00080,电子产品,26.05
prod_00081,家居用品,28.79
prod_00082,服装,10.0
prod_00083,运动户外,78.67
prod_00084,母婴用品,29.94
prod_00085,运动户外,22.7
prod_00086,家居用品,44.22
prod_00087,家居用品,25.64
prod_00088,母婴用品,10.0
prod_00089,美妆,10.54
prod_00090,家居用品,10.0
prod_00091,家居用品,21.18
prod_00092,服装,31.25
prod_00093,美妆,17.29
prod_00094,运动户外,10.0
prod_00095,电子产品,13.52
prod_00096,电子产品,14.95
prod_00097,服装,40.2
prod_00098,家居用品,63.15
prod_00099,食品,10.0
prod_00100,美妆,18.86
prod_00101,家居用品,12.39
prod_00102,美妆,16.3
prod_00103,家居用品,39.4
prod_00104,美妆,13.47
prod_00105,美妆,34.73
prod_00106,家居用品,98.8
prod_00107,美妆,14.01
prod_00108,服装,16.88
prod_00109,家居用品,16.58
prod_00110,家居用品,135.58
prod_00111,家居用品,13.46
prod_00112,图书,65.1
prod_00113,家居用品,19.52
prod_00114,美妆,23.02
prod_00115,母婴用品,38.96
prod_00116,服装,14.91
prod_00117,电子产品,44.08
prod_00118,电子产品,16.1
prod_00119,电子产品,10.0
prod_00120,电子产品,45.3
prod_00121,图书,32.73
prod_00122,家居用品,12.57
prod_00123,美妆,50.51
prod_00124,电子产品,10.0
prod_00125,家居用品,28.17
prod_00126,家居用品,10.0
prod_00127,家居用品,14.71
prod_00128,电子产品,10.24
prod_00129,美妆,10.0
prod_00130,美妆,20.48
prod_00131,电子产品,26.2
prod_00132,图书,32.85
prod_00133,家居用品,20.11
prod_00134,家居用品,28.35
prod_00135,运动户外,10.0
prod_00136,母婴用品,10.0
prod_00137,运动户外,19.8
prod_00138,电子产品,10.0
prod_00139,母婴用品,20.17
prod_00140,美妆,11.94
prod_00141,食品,17.69
prod_00142,母婴用品,10.0
