user_id,gender,age,register_date,city
user_00001,M,49,2020-07-02,深圳
user_00002,F,53,2021-12-03,广州
user_00003,F,67,2022-01-13,武汉
user_00004,F,54,2020-10-02,武汉
user_00005,M,65,2020-08-20,成都
user_00006,M,31,2020-02-23,成都
user_00007,M,44,2020-09-13,深圳
user_00008,F,36,2020-03-30,成都
user_00009,F,48,2022-01-07,广州
user_00010,F,63,2022-01-28,上海
user_00011,M,26,2021-10-24,成都
user_00012,F,55,2021-03-10,广州
user_00013,F,34,2021-09-16,武汉
user_00014,M,36,2021-02-11,武汉
user_00015,M,61,2020-09-25,广州
user_00016,M,21,2021-10-30,南京
user_00017,M,65,2020-12-31,武汉
user_00018,F,28,2020-12-16,广州
user_00019,M,39,2020-10-25,南京
user_00020,M,21,2020-06-07,成都
user_00021,F,34,2021-05-01,上海
user_00022,M,25,2022-01-06,深圳
user_00023,M,63,2021-06-09,深圳
user_00024,M,51,2020-12-20,成都
user_00025,M,28,2021-09-12,成都
user_00026,F,48,2021-02-04,武汉
user_00027,M,28,2021-02-08,北京
user_00028,F,55,2020-04-05,杭州
user_00029,F,38,2021-12-07,南京
user_00030,M,63,2021-07-23,上海
user_00031,F,47,2021-01-26,广州
user_00032,M,27,2020-12-17,杭州
user_00033,M,43,2021-10-27,广州
user_00034,F,44,2021-07-29,杭州
user_00035,F,25,2021-10-31,深圳
user_00036,F,56,2022-02-15,杭州
user_00037,M,25,2021-09-24,成都
user_00038,M,25,2020-10-14,上海
user_00039,F,51,2021-06-06,深圳
user_00040,M,33,2021-12-26,武汉
user_00041,M,58,2020-06-10,杭州
user_00042,F,30,2021-09-08,上海
user_00043,M,40,2021-10-20,成都
user_00044,F,29,2020-06-30,武汉
user_00045,M,44,2021-07-02,广州
user_00046,F,39,2020-03-22,武汉
user_00047,M,49,2021-06-07,南京
user_00048,F,66,2020-01-04,南京
user_00049,F,44,2021-05-09,北京
user_00050,M,19,2021-07-08,上海
user_00051,F,62,2020-02-20,南京
user_00052,F,50,2020-09-17,广州
user_00053,F,43,2020-05-13,上海
user_00054,F,45,2021-08-21,上海
user_00055,F,36,2020-12-27,上海
user_00056,F,60,2021-07-21,成都
user_00057,M,22,2020-08-04,南京
user_00058,M,50,2020-03-08,深圳
user_00059,M,37,2021-07-09,上海
user_00060,M,47,2020-05-22,成都
user_00061,M,62,2020-12-11,北京
user_00062,M,25,2021-07-07,南京
user_00063,F,55,2021-10-12,深圳
user_00064,M,34,2021-08-07,成都
