order_id,product_id,quantity,price
order_000001,prod_02484,1,69.72
order_000002,prod_03355,1,15.35
order_000003,prod_02643,2,10.0
order_000003,prod_01370,1,12.44
order_000003,prod_03017,1,14.4
order_000003,prod_03957,1,69.64
order_000004,prod_01435,3,18.29
order_000004,prod_02316,3,19.21
order_000005,prod_04792,2,10.0
order_000005,prod_04167,1,25.08
order_000005,prod_03613,1,18.12
order_000006,prod_03762,3,10.0
order_000006,prod_01604,2,10.0
order_000006,prod_03777,2,16.61
order_000006,prod_01947,2,10.0
order_000007,prod_01386,1,10.0
order_000008,prod_03371,2,22.18
order_000008,prod_04214,1,39.93
order_000009,prod_04181,2,11.62
order_000009,prod_03331,1,31.82
order_000009,prod_01415,1,19.52
order_000010,prod_02117,1,11.57
order_000010,prod_01604,1,10.0
order_000010,prod_02682,3,20.82
order_000011,prod_04842,3,68.83
order_000011,prod_01849,1,10.0
order_000011,prod_00624,3,30.81
order_000012,prod_00871,2,24.61
order_000013,prod_02519,1,22.52
order_000013,prod_04505,2,20.42
order_000013,prod_03938,2,10.0
order_000014,prod_04502,3,10.0
order_000014,prod_04564,3,11.11
order_000015,prod_02477,2,28.17
order_000016,prod_00618,1,10.0
order_000017,prod_02424,2,16.77
order_000017,prod_01693,2,13.88
order_000018,prod_04227,3,34.09
order_000019,prod_02116,3,18.82
order_000020,prod_01839,3,62.16
order_000020,prod_02735,1,34.36
order_000021,prod_01846,1,10.0
order_000021,prod_00334,1,12.09
order_000022,prod_02456,1,13.08
order_000022,prod_02412,1,45.98
order_000023,prod_01842,1,15.28
order_000023,prod_04749,1,10.0
order_000023,prod_00344,3,121.49
order_000023,prod_03868,2,23.78
order_000023,prod_03633,2,10.0
order_000024,prod_03529,3,15.74
order_000024,prod_04693,2,20.05
order_000025,prod_02858,3,13.17
order_000025,prod_00921,1,18.55
order_000025,prod_02545,2,10.0
order_000026,prod_04923,2,17.16
order_000027,prod_03900,1,29.65
order_000028,prod_01554,2,45.28
order_000028,prod_00524,2,11.71
order_000029,prod_01927,3,15.28
order_000029,prod_00797,1,15.42
order_000029,prod_02566,2,12.71
order_000030,prod_03676,2,31.09
order_000030,prod_01116,1,26.12
order_000031,prod_00583,2,28.88
order_000032,prod_03301,2,11.36
order_000032,prod_02702,2,16.25
order_000033,prod_01283,3,20.56
order_000033,prod_00235,2,15.88
order_000033,prod_03175,3,21.02
order_000034,prod_03905,1,16.48
order_000034,prod_00492,3,10.0
order_000035,prod_04057,2,10.0
order_000035,prod_01117,2,10.0
order_000035,prod_04745,1,35.61
order_000035,prod_01495,3,23.06
order_000036,prod_02894,1,26.88
order_000036,prod_04386,1,10.0
order_000037,prod_01865,2,19.88
order_000037,prod_01450,3,22.81
order_000038,prod_02055,2,190.95
order_000038,prod_03496,1,10.0
order_000038,prod_04518,3,55.22
order_000038,prod_01421,3,22.76
order_000038,prod_03915,3,22.7
order_000039,prod_02457,3,16.13
order_000039,prod_03794,2,24.78
order_000040,prod_00504,2,68.09
order_000040,prod_00554,1,40.13
order_000041,prod_04593,3,32.49
order_000042,prod_02966,2,34.12
order_000042,prod_00313,1,40.03
order_000043,prod_03142,3,14.09
order_000043,prod_01417,2,53.16
order_000043,prod_01431,3,18.46
order_000044,prod_01841,1,36.5
order_000045,prod_04463,1,10.0
order_000045,prod_01527,1,37.66
order_000045,prod_00646,2,10.0
order_000045,prod_04047,3,10.0
order_000045,prod_02090,1,10.0
order_000046,prod_00601,1,10.0
order_000046,prod_02221,1,18.02
order_000047,prod_02694,3,15.04
order_000047,prod_00520,1,10.0
order_000047,prod_04437,3,12.03
order_000047,prod_03173,3,10.0
order_000048,prod_01181,1,32.76
order_000048,prod_02064,2,10.0
order_000048,prod_04408,1,50.51
order_000048,prod_03046,3,77.19
order_000048,prod_00030,2,27.38
order_000048,prod_02094,1,10.0
order_000049,prod_00414,2,82.23
order_000050,prod_02531,1,13.22
order_000050,prod_04863,1,10.0
order_000051,prod_04062,3,10.72
order_000051,prod_00262,3,15.61
order_000051,prod_04157,1,15.34
order_000052,prod_03904,1,55.81
order_000052,prod_00553,3,156.54
order_000053,prod_02549,1,48.47
order_000053,prod_04351,1,152.66
order_000054,prod_03466,2,61.86
order_000055,prod_04882,1,21.86
order_000055,prod_01383,3,22.62
order_000055,prod_04736,1,10.52
order_000056,prod_03538,1,10.0
order_000057,prod_04031,1,10.0
order_000057,prod_03626,1,19.34
order_000057,prod_04151,1,26.98
order_000057,prod_02042,3,59.52
order_000058,prod_01918,2,10.0
order_000059,prod_02306,1,11.89
order_000060,prod_04703,2,87.12
order_000060,prod_00334,3,12.09
order_000060,prod_00593,2,10.0
order_000061,prod_04954,3,11.07
order_000061,prod_04651,2,12.67
order_000061,prod_03002,2,36.81
order_000062,prod_04077,2,18.32
order_000062,prod_03308,3,10.0
order_000062,prod_04004,1,31.67
order_000063,prod_02293,3,22.19
order_000063,prod_00198,2,10.0
order_000063,prod_02485,3,10.0
order_000063,prod_03487,3,10.0
order_000064,prod_03233,1,10.0
order_000065,prod_03596,2,55.55
order_000065,prod_04294,1,13.47
order_000066,prod_02967,1,16.8
order_000066,prod_01952,2,13.29
order_000067,prod_01268,1,19.16
order_000067,prod_01157,3,23.36
order_000068,prod_03232,3,28.87
order_000068,prod_01670,2,10.0
order_000068,prod_00608,1,14.63
order_000068,prod_01196,3,13.47
order_000069,prod_02403,3,22.64
order_000070,prod_04496,3,14.06
order_000070,prod_02433,2,50.34
order_000071,prod_01158,3,34.34
order_000071,prod_02713,1,57.68
order_000071,prod_01059,1,104.81
order_000072,prod_01809,3,10.0
order_000073,prod_02232,1,43.32
order_000073,prod_00548,2,17.24
order_000073,prod_00285,3,10.24
order_000073,prod_01009,2,13.46
order_000074,prod_00150,3,17.89
order_000075,prod_02161,1,51.11
order_000076,prod_04884,3,22.97
order_000076,prod_03237,3,22.07
order_000077,prod_03071,2,56.67
order_000077,prod_01492,1,16.97
order_000077,prod_02931,2,17.16
order_000077,prod_02202,3,92.16
order_000078,prod_01255,2,14.09
order_000078,prod_01108,3,22.18
order_000078,prod_01675,3,21.64
order_000079,prod_03545,1,10.0
order_000080,prod_04413,2,10.0
order_000080,prod_03840,3,10.0
order_000081,prod_04654,3,22.4
order_000081,prod_01246,1,11.58
order_000081,prod_02217,3,13.6
order_000081,prod_01835,2,16.21
order_000081,prod_03268,3,15.71
order_000082,prod_02561,2,70.15
order_000082,prod_01304,3,10.0
