order_id,user_id,order_date,payment_method
order_000001,user_00158,2022-01-24,微信
order_000002,user_03176,2022-03-06,支付宝
order_000003,user_05912,2022-05-23,支付宝
order_000004,user_09814,2022-08-03,支付宝
order_000005,user_07044,2022-11-03,微信
order_000006,user_07922,2022-01-20,支付宝
order_000007,user_00806,2022-12-16,支付宝
order_000008,user_09498,2022-02-21,银行卡
order_000009,user_08706,2022-07-24,支付宝
order_000010,user_07236,2022-09-10,支付宝
order_000011,user_00504,2022-11-06,银行卡
order_000012,user_07237,2022-05-01,支付宝
order_000013,user_07727,2022-03-03,支付宝
order_000014,user_05987,2022-01-11,花呗
order_000015,user_05184,2022-02-11,微信
order_000016,user_02640,2022-09-06,银行卡
order_000017,user_08958,2022-05-14,支付宝
order_000018,user_00237,2022-08-18,微信
order_000019,user_04492,2022-03-30,支付宝
order_000020,user_05961,2022-06-22,花呗
order_000021,user_01800,2022-06-16,支付宝
order_000022,user_03388,2022-12-26,微信
order_000023,user_04000,2022-04-16,支付宝
order_000024,user_01447,2022-12-29,支付宝
order_000025,user_00132,2022-02-06,支付宝
order_000026,user_06370,2022-02-09,微信
order_000027,user_05593,2022-11-10,银行卡
order_000028,user_04214,2022-08-13,银行卡
order_000029,user_06060,2022-12-30,支付宝
order_000030,user_01459,2022-06-17,微信
order_000031,user_05299,2022-07-21,银行卡
order_000032,user_02023,2022-08-03,银行卡
order_000033,user_01949,2022-01-14,支付宝
order_000034,user_06606,2022-07-30,微信
order_000035,user_09813,2022-08-10,支付宝
order_000036,user_06862,2022-05-17,微信
order_000037,user_07272,2022-03-10,支付宝
order_000038,user_07868,2022-10-22,微信
order_000039,user_09950,2022-02-14,支付宝
order_000040,user_04719,2022-07-08,支付宝
order_000041,user_04151,2022-02-19,银行卡
order_000042,user_00524,2022-04-19,微信
order_000043,user_02482,2022-08-12,银行卡
order_000044,user_04485,2022-12-25,银行卡
order_000045,user_06811,2022-06-17,支付宝
order_000046,user_07503,2022-06-05,微信
order_000047,user_08538,2022-10-19,微信
order_000048,user_02313,2022-09-23,支付宝
order_000049,user_07016,2022-11-13,银行卡
order_000050,user_07272,2022-07-15,微信
order_000051,user_09891,2022-06-14,支付宝
order_000052,user_00141,2022-09-08,微信
order_000053,user_06893,2022-08-17,微信
order_000054,user_07777,2022-08-07,支付宝
order_000055,user_09314,2022-01-01,花呗
order_000056,user_02884,2022-01-21,微信
order_000057,user_07629,2022-06-21,银行卡
order_000058,user_09227,2022-04-18,微信
order_000059,user_07462,2022-12-01,支付宝
order_000060,user_09175,2022-11-30,银行卡
order_000061,user_03461,2022-12-16,支付宝
order_000062,user_02585,2022-11-04,微信
order_000063,user_04734,2022-09-14,微信
order_000064,user_09349,2022-03-08,支付宝
order_000065,user_09770,2022-01-11,支付宝
order_000066,user_06548,2022-12-09,支付宝
order_000067,user_01308,2022-12-11,支付宝
order_000068,user_02853,2022-11-20,支付宝
order_000069,user_02225,2022-08-20,微信
order_000070,user_03445,2022-11-01,支付宝
order_000071,user_01252,2022-07-07,微信
order_000072,user_09864,2022-01-16,支付宝
order_000073,user_01396,2022-07-31,微信
order_000074,user_09207,2022-10-17,银行卡
order_000075,user_04742,2022-01-24,支付宝
order_000076,user_00757,2022-01-08,支付宝
order_000077,user_07305,2022-04-29,微信
order_000078,user_02621,2022-11-20,微信
order_000079,user_02430,2022-11-05,支付宝
order_000080,user_09424,2022-02-22,支付宝
order_000081,user_07806,2022-06-04,微信
order_000082,user_04025,2022-09-26,微信
order_000083,user_00035,2022-08-02,微信
order_000084,user_07434,2022-05-15,支付宝
order_000085,user_00021,2022-03-08,支付宝
order_000086,user_02313,2022-12-30,微信
order_000087,user_00457,2022-11-08,支付宝
order_000088,user_07288,2022-03-23,花呗
order_000089,user_07901,2022-09-27,微信
order_000090,user_04479,2022-10-22,支付宝
order_000091,user_01063,2022-01-19,微信
order_000092,user_07921,2022-11-19,花呗
order_000093,user_07128,2022-12-08,支付宝
order_000094,user_07190,2022-06-24,支付宝
order_000095,user_09783,2022-06-28,支付宝
order_000096,user_08095,2022-07-12,微信
order_000097,user_08239,2022-10-30,微信
order_000098,user_04842,2022-09-20,微信
order_000099,user_04635,2022-11-25,微信
order_000100,user_07650,2022-04-22,花呗
order_000101,user_05168,2022-08-12,支付宝
order_000102,user_04775,2022-02-27,支付宝
order_000103,user_05080,2022-12-30,支付宝
order_000104,user_07249,2022-08-30,支付宝
order_000105,user_01654,2022-12-18,支付宝
order_000106,user_00045,2022-03-21,支付宝
order_000107,user_04371,2022-11-21,支付宝
order_000108,user_03765,2022-06-25,支付宝
order_000109,user_03033,2022-12-18,支付宝
order_000110,user_04328,2022-06-15,支付宝
order_000111,user_00086,2022-12-05,支付宝
order_000112,user_01614,2022-04-07,微信
order_000113,user_06782,2022-04-30,支付宝
order_000114,user_07228,2022-06-14,支付宝
order_000115,user_03292,2022-08-31,支付宝
order_000116,user_08780,2022-05-15,银行卡
